key	at	outcome	note
greenhouse:dbtlabsinc	2026-08-02T19:00:58.916Z	relocated	dbt Labs merged with Fivetran; getdbt.com/careers headlines 'dbt Labs + Fivetran'. Verified boards-api.greenhouse.io/v1/boards/fivetran/jobs = HTTP 200 with 200
greenhouse:affinity	2026-08-02T19:00:58.916Z	relocated	affinity.co/company/careers links Ashby board slug 'affinity.co'. Verified 12 open jobs incl. 'Senior Machine Learning Engineer' (Canada and US), matching known
greenhouse:paystack	2026-08-02T19:00:58.916Z	relocated	Greenhouse slug 404. Workable account 'paystack' exists and is named 'Paystack' (apply.workable.com/paystack = HTTP 200), but currently lists 0 open roles, so j
greenhouse:jumo	2026-08-02T19:00:58.916Z	relocated	JUMO (jumo.world, African mobile-money fintech) is alive and hiring: jumo.world/careers lists 10 open roles (Data Engineer, Analytics Engineer, Software Enginee
recruitee:deinephysios	2026-08-02T22:54:27.509Z	relocated	board redirected deinephysios.recruitee.com → medicalparkalphareha1.recruitee.com; 4 jobs
recruitee:formo	2026-08-02T22:54:27.509Z	relocated	board redirected formo.recruitee.com → formofoodsgmbh.recruitee.com; 1 jobs
recruitee:xxx	2026-08-02T22:54:27.509Z	relocated	board redirected xxx.recruitee.com → normecsupl.recruitee.com; 3 jobs
recruitee:smartcenter1	2026-08-02T22:54:27.509Z	relocated	board redirected smartcenter1.recruitee.com → smartfaster.recruitee.com; 7 jobs
recruitee:embrace	2026-08-02T22:54:27.509Z	relocated	board redirected embrace.recruitee.com → embracecloud.recruitee.com; 3 jobs
recruitee:energy21	2026-08-02T22:54:27.509Z	relocated	board redirected energy21.recruitee.com → eneve.recruitee.com; 8 jobs
recruitee:graphcms	2026-08-02T22:54:27.509Z	relocated	board redirected graphcms.recruitee.com → hygraph.recruitee.com; 3 jobs
recruitee:gtn	2026-08-02T22:54:27.509Z	relocated	board redirected gtn.recruitee.com → elan.recruitee.com; 5 jobs
recruitee:interothesniffers	2026-08-02T22:54:27.509Z	relocated	board redirected interothesniffers.recruitee.com → aellia.recruitee.com; 9 jobs
recruitee:jpweltersgorgensgmbhcobekleidungskg	2026-08-02T22:54:27.509Z	relocated	board redirected jpweltersgorgensgmbhcobekleidungskg.recruitee.com → kultolymphades.recruitee.com; 51 jobs
recruitee:oil	2026-08-02T22:54:27.509Z	relocated	board redirected oil.recruitee.com → normecsuuk.recruitee.com; 10 jobs
recruitee:olsamgroup	2026-08-02T22:54:27.509Z	relocated	board redirected olsamgroup.recruitee.com → avenircollective.recruitee.com; 6 jobs
recruitee:ism	2026-08-02T22:54:27.509Z	relocated	board redirected ism.recruitee.com → werkenbijvalantic.recruitee.com; 5 jobs
recruitee:alex.recruitee.com	2026-08-02T22:54:27.509Z	relocated	board redirected alex.recruitee.com → nikon.recruitee.com; 3 jobs
recruitee:adam.recruitee.com	2026-08-02T22:54:27.509Z	relocated	board redirected adam.recruitee.com → mds.recruitee.com; 60 jobs
recruitee:job.recruitee.com	2026-08-02T22:54:27.509Z	relocated	board redirected job.recruitee.com → paipartnerssas.recruitee.com; 7 jobs
recruitee:true.recruitee.com	2026-08-02T22:54:27.509Z	relocated	board redirected true.recruitee.com → truefullstaq.recruitee.com; 4 jobs
recruitee:anchorhealth.recruitee.com	2026-08-02T22:54:27.509Z	relocated	board redirected anchorhealth.recruitee.com → healthcarerecruiting.recruitee.com; 1 jobs
recruitee:intralot	2026-08-02T22:54:27.509Z	relocated	board redirected intralot.recruitee.com → ballysintralotsa.recruitee.com; 38 jobs
recruitee:nrb	2026-08-02T22:54:27.509Z	relocated	board redirected nrb.recruitee.com → keyes.recruitee.com; 58 jobs
recruitee:xccelerated	2026-08-02T22:54:27.509Z	relocated	board redirected xccelerated.recruitee.com → xebiacareers.recruitee.com; 41 jobs
recruitee:demvsystemsgmbh	2026-08-02T22:54:27.509Z	relocated	board redirected demvsystemsgmbh.recruitee.com → demvsystems.recruitee.com; 10 jobs
recruitee:momomedicalbv	2026-08-02T22:54:27.509Z	relocated	board redirected momomedicalbv.recruitee.com → momomedical.recruitee.com; 8 jobs
recruitee:jobsatlanticvcfoodlabs	2026-08-02T22:54:27.509Z	relocated	board redirected jobsatlanticvcfoodlabs.recruitee.com → jobsatlanticvc.recruitee.com; 15 jobs
recruitee:consulting1x1gmbh	2026-08-02T22:54:27.509Z	relocated	board redirected consulting1x1gmbh.recruitee.com → consulting1x1.recruitee.com; 5 jobs
greenhouse:runpod	2026-08-03T00:03:18.924Z	relocated	Greenhouse slug 404s; Ashby board returns 23 jobs incl. both known titles verbatim (Senior Software Engineer (Cloud), Senior Procurement Officer (Supply, Cloud 
greenhouse:fireworksai	2026-08-03T00:03:18.924Z	relocated	Greenhouse slug 404s; Ashby board returns 46 jobs using Fireworks' MTS/Member of Technical Staff naming
bamboohr:brankas	2026-08-03T00:03:19.120Z	unknown	in progress
bamboohr:brightsun	2026-08-03T00:03:19.120Z	unknown	in progress
bamboohr:cience	2026-08-03T00:03:19.120Z	unknown	in progress
bamboohr:cnhf	2026-08-03T00:03:19.120Z	unknown	in progress
bamboohr:codeverse	2026-08-03T00:03:19.120Z	unknown	in progress
bamboohr:cpkn	2026-08-03T00:03:19.120Z	unknown	in progress
bamboohr:dynasty	2026-08-03T00:03:19.120Z	unknown	in progress
bamboohr:earnedwealth	2026-08-03T00:03:19.120Z	unknown	in progress
bamboohr:efea	2026-08-03T00:03:19.291Z	unknown	Bare ATS slug with no known_titles and no previously-seen postings; nothing to identify the employer from. Tenant exists but /careers 302s to login.php (public 
bamboohr:eldorado	2026-08-03T00:03:19.291Z	unknown	/careers 302s to www.bamboohr.com, i.e. the tenant is no longer provisioned. But 'eldorado' is a generic name (dozens of unrelated companies) with no known_titl
bamboohr:elements	2026-08-03T00:03:19.291Z	unknown	Probe state 'gone' confirmed: /careers 302s to www.bamboohr.com (account expired). 'elements' is a generic slug matching many unrelated companies and there are 
bamboohr:els	2026-08-03T00:03:19.291Z	unknown	Tenant live but careers portal disabled (302 to login.php, empty /careers/list). Three-letter generic slug, no titles, no posting history — unidentifiable emplo
bamboohr:epts	2026-08-03T00:03:19.291Z	unknown	Tenant live but careers portal disabled (302 to login.php, empty /careers/list). Acronym slug with no distinguishing titles; multiple unrelated candidate orgs, 
bamboohr:esha	2026-08-03T00:03:19.291Z	unknown	Tenant live but careers portal disabled (302 to login.php, empty /careers/list). Slug alone is not sufficient identification and no known_titles exist to confir
bamboohr:esl	2026-08-03T00:03:19.291Z	unknown	Tenant live but careers portal disabled (302 to login.php, empty /careers/list). 'esl' is both a generic acronym and a common industry term; no titles or histor
bamboohr:espace	2026-08-03T00:03:19.291Z	unknown	Tenant live but careers portal disabled (302 to login.php, empty /careers/list). Generic slug, no known_titles, no previously-seen postings; employer unidentifi
bamboohr:estella	2026-08-03T00:03:19.480Z	unknown	BambooHR tenant exists but /careers/list 302s to settings/account/temporarily_suspended (account suspended, public board disabled). Slug 'estella' matches no si
bamboohr:fastpath	2026-08-03T00:03:19.480Z	unknown	BambooHR tenant exists but /careers/list 302s to login.php (public careers portal disabled). Generic slug, no known_titles or prior postings, so identity unconf
bamboohr:fell	2026-08-03T00:03:19.480Z	unknown	BambooHR tenant exists but /careers/list 302s to login.php (public board disabled). Slug is a common word with no known_titles or prior postings to identify the
bamboohr:fido	2026-08-03T00:03:19.480Z	unknown	Subdomain fido.bamboohr.com does not resolve to a tenant — /careers/list 302s to www.bamboohr.com, the same response as a nonexistent account, so this entry was
bamboohr:fishingbooker	2026-08-03T00:03:19.480Z	unknown	Subdomain does not resolve to a BambooHR tenant (302 to www.bamboohr.com), so no board to repair. FishingBooker (fishing-charter marketplace, Belgrade) is alive
bamboohr:fortress	2026-08-03T00:03:19.480Z	unknown	BambooHR tenant exists but /careers/list 302s to login.php (public board disabled). 'Fortress' collides across many employers (Fortress Investment Group, Fortre
bamboohr:fueled	2026-08-03T00:03:19.480Z	unknown	Subdomain does not resolve to a BambooHR tenant (302 to www.bamboohr.com). Fueled (NYC app/product agency) is actively hiring — fueled.com/careers lists ~10 rol
bamboohr:gam	2026-08-03T00:03:19.480Z	unknown	BambooHR tenant exists but /careers/list 302s to login.php (public board disabled). Three-letter slug with no known_titles or prior postings; matches no identif
bamboohr:gardenhouse	2026-08-03T00:03:19.677Z	unknown	BambooHR careers/list 302s to login.php (private/suspended account). No known_titles, no prior postings, no fit signal. Slug 'gardenhouse' matches no identifiab
bamboohr:gdah	2026-08-03T00:03:19.677Z	unknown	careers/list 302s to login.php. No titles or posting history. Closest domain match gdah.org exists but has no careers/jobs links at all and nothing ties it to t
bamboohr:gegac	2026-08-03T00:03:19.677Z	unknown	careers/list 302s to www.bamboohr.com (tenant gone or careers portal disabled). No titles. Nearest known org is GECAC (Greater Erie Community Action Committee, 
bamboohr:getflex	2026-08-03T00:03:19.677Z	relocated	getflex.com/company/careers loads its openings from boards-api.greenhouse.io/v1/boards/flex/jobs. Verified: that board returns 51 live jobs and the JD copy self
bamboohr:grandturkcruisecenter	2026-08-03T00:03:19.677Z	unknown	careers/list 302s to www.bamboohr.com. Likely Grand Turk Cruise Center (grandturkcc.com now redirects to grandturkport.com, which has a /careers/ page), but tha
bamboohr:gtd	2026-08-03T00:03:19.677Z	unknown	careers/list 302s to login.php. No titles. gtd.com is a live org whose /employment/ page hires via ADP recruitment (not a supported provider), but nothing conne
bamboohr:guidance	2026-08-03T00:03:19.677Z	unknown	Probe URL itself carries r=/settings/account/temporarily_suspended, i.e. the BambooHR account is suspended rather than the company necessarily being gone. guida
bamboohr:hbm	2026-08-03T00:03:19.677Z	unknown	careers/list 302s to www.bamboohr.com. Three-letter slug with no titles. hbm.com redirects careers to hbkworld.com (HBM was absorbed into HBK/Hottinger Bruel & 
bamboohr:inmoment	2026-08-03T00:03:19.880Z	relocated	InMoment (CX/XI software) careers page links Pinpoint board; verified title 'Jobs at InMoment | InMoment Careers' and jobs.rss channel 'Careers at InMoment'. Bo
bamboohr:kcfa	2026-08-03T00:03:20.085Z	unknown	BambooHR tenant kcfa still exists but careers portal is disabled: /careers and /careers/list both 302 to kcfa.bamboohr.com/login.php. No known_titles, no previo
bamboohr:kiverdi	2026-08-03T00:03:20.085Z	unknown	Company is alive: kiverdi.com loads (Kiverdi, Inc., carbon-transformation biotech; brands Air Protein, Revive Soil, CO2 Aquafeed). But the BambooHR tenant is go
bamboohr:koko	2026-08-03T00:03:20.085Z	relocated	Koko (kokocares.org, mental-health nonprofit) moved off BambooHR - koko.bamboohr.com/careers now 302s to www.bamboohr.com root (tenant deleted). Its own site li
bamboohr:ldsk	2026-08-03T00:03:20.085Z	unknown	BambooHR account is suspended, not deleted: /careers and /careers/list redirect to ldsk.bamboohr.com/settings/account/temporarily_suspended. A suspended ATS sub
bamboohr:lng	2026-08-03T00:03:20.085Z	unknown	Tenant exists but careers portal is off: /careers and /careers/list 302 to lng.bamboohr.com/login.php. 'lng' is a generic three-letter slug (liquefied natural g
bamboohr:logically	2026-08-03T00:03:20.085Z	unknown	Company is alive: logically.ai loads and now operates as Kreatur Limited (narrative decision-intelligence software: Logically Intelligence, PRISM-alpha) followi
